state,zip_code,Rate
KY,41800,10.55
KY,41900,3.92
KY,42000,6.19
KY,42100,5.22
KY,42200,5.60
KY,42300,5.82
KY,42400,5.67
KY,42500,5.85
KY,42600,9.43
KY,42700,6.00
MA,1000,5.32
MA,1100,6.77
MA,1200,4.99
MA,1300,5.13
MA,1400,4.68
MA,1500,6.03
MA,1600,5.30
MA,1700,4.68
MA,1800,4.61
MA,1900,5.17
MA,2000,5.29
MA,2100,4.34
MA,2200,4.34
MA,2300,5.29
MA,2400,4.20
MA,2500,6.22
MA,2600,6.37
MA,2700,5.77
MA,5500,5.17
MD,20600,4.87
MD,20700,4.29
MD,20800,3.98
MD,20900,3.98
MD,21000,4.68
MD,21100,4.68
MD,21200,6.58
MD,21500,6.78
MD,21600,5.88
MD,21700,5.12
MD,21800,8.29
MD,21900,6.02
ME,3900,3.93
ME,4000,4.07
ME,4100,3.39
ME,4200,4.25
ME,4300,4.34
ME,4400,5.80
ME,4500,4.04
ME,4600,5.52
ME,4700,5.37
ME,4800,4.58
ME,4900,5.09
MI,48000,6.65
MI,48100,5.55
MI,48200,6.88
MI,48300,5.85
MI,48400,6.06
MI,48500,6.20
MI,48600,6.57
MI,48700,6.51
MI,48800,4.92
MI,48900,4.73
MI,49000,4.73
MI,49100,5.13
MI,49200,5.14
MI,49300,5.35
MI,49400,5.28
MI,49500,3.90
MI,49600,6.06
MI,49700,5.74
MI,49800,6.38
MI,49900,7.43
MN,55000,4.00
MN,55100,3.31
MN,55300,3.72
MN,55400,3.35
MN,55500,3.38
MN,55600,4.62
MN,55700,5.74
MN,55900,3.52
MN,56000,3.86
MN,56100,3.75
MN,56200,4.21
MN,56300,4.68
MN,56400,5.76
MN,56500,4.26
MN,56600,6.23
MN,56700,4.99
MO,63000,5.19
MO,63100,6.04
MO,63300,4.81
MO,63400,4.90
MO,63500,5.26
MO,63600,6.44
MO,63700,5.49
MO,63800,6.94
MO,63900,6.98
MO,64000,5.00
MO,64100,4.85
MO,64400,4.37
MO,64500,4.61
MO,64600,4.89
MO,64700,5.20
MO,64800,4.57
MO,64900,5.85
MO,65000,5.03
MO,65100,3.98
MO,65200,4.97
